character,radical,decomposition,pinyin,definition,etymology,stroke_count,radical_code,frequency_rank,hsk_levl
燕,火,⿱⿱廿⿻口北灬,yàn,"swallow (bird); comfort, enjoy","{'type': 'ideographic', 'hint': 'A swallow, with its head\xa0廿, wings\xa0北, and tail\xa0灬'}",16,86.12,1705,
仲,人,⿰亻中,zhòng,"middle brother; go between, mediator; surname","{'type': 'ideographic', 'hint': 'The middle\xa0中 person\xa0亻;\xa0中 also provides the pronunciation'}",6,9.4,1706,
诱,言,⿰讠秀,yòu,"persuade, entice, induce; guide","{'type': 'ideographic', 'hint': 'To use elegant\xa0秀 words\xa0讠;\xa0秀 also provides the pronunciation'}",9,149.7,1707,6.0
狼,犬,⿰犭良,láng,wolf,"{'type': 'pictophonetic', 'phonetic': '良', 'semantic': '犭', 'hint': 'dog'}",10,94.7,1708,6.0
池,水,⿰氵也,chí,"pool, pond; moat; cistern","{'type': 'pictophonetic', 'phonetic': '也', 'semantic': '氵', 'hint': 'water'}",6,85.3,1709,5.0
疼,疒,⿸疒冬,téng,"aches, pains; be fond of; love","{'type': 'pictophonetic', 'phonetic': '冬', 'semantic': '疒', 'hint': 'sickness'}",10,104.5,1710,3.0
卢,卜,⿱⺊尸,lú,"cottage, hut; surname; black",,5,25.3,1711,
仗,人,⿰亻丈,zhàng,"rely upon; protector; fight; war, weaponry","{'type': 'pictophonetic', 'phonetic': '丈', 'semantic': '亻', 'hint': 'person'}",5,9.3,1712,6.0
冠,冖,⿱冖⿺元寸,guān,"cap, crown, headgear","{'type': 'ideographic', 'hint': 'A man 元\xa0puts on a cap\xa0冖\xa0with his hand\xa0寸'}",9,14.7,1713,5.0
粒,米,⿰米立,lì,grain; small particle,"{'type': 'pictophonetic', 'phonetic': '立', 'semantic': '米', 'hint': 'grain'}",11,119.5,1714,6.0
遥,辵,⿺辶䍃,yáo,"far away, distant, remote","{'type': 'pictophonetic', 'phonetic': '䍃', 'semantic': '辶', 'hint': 'walk'}",13,162.9,1715,6.0
吕,口,⿱口口,lǚ,surname; a musical note,"{'type': 'ideographic', 'hint': 'Two mouths\xa0口 in harmony'}",6,30.3,1716,
玄,玄,⿱亠幺,xuán,"deep, profound, abstruse; KangXi radical 95",,5,95.0,1717,
尘,小,⿱小土,chén,"dust, dirt, ashes, cinders","{'type': 'ideographic', 'hint': 'Small\xa0小 flakes of earth\xa0土'}",6,42.3,1718,5.0
冯,馬,⿰冫马,féng,surname; gallop; by dint of,"{'type': 'pictophonetic', 'phonetic': '冫', 'semantic': '马', 'hint': 'horse'}",5,187.2,1719,
抚,手,⿰扌无,fǔ,"pat, console, comfort; pacify","{'type': 'pictophonetic', 'phonetic': '无', 'semantic': '扌', 'hint': 'hand'}",7,64.4,1720,6.0
浅,水,⿰氵戋,qiǎn,"shallow, not deep; superficial","{'type': 'pictophonetic', 'phonetic': '戋', 'semantic': '氵', 'hint': 'water'}",8,85.5,1721,5.0
敦,攴,⿰享攵,dūn,"esteem; honest, candid, sincere","{'type': 'pictophonetic', 'phonetic': '攵', 'semantic': '享', 'hint': 'share'}",12,66.8,1722,
纠,糸,⿰纟丩,jiū,"investigate, inspect","{'type': 'ideographic', 'hint': 'To connect\xa0丩 threads\xa0纟;\xa0丩 also provides the pronunciation'}",5,120.2,1723,6.0
钻,金,⿰钅占,zuān,"drill, bore; pierce; diamond","{'type': 'pictophonetic', 'phonetic': '占', 'semantic': '钅', 'hint': 'metal'}",10,167.5,1724,6.0
晶,日,⿱日⿰日日,jīng,"crystal; clear, bright; radiant","{'type': 'ideographic', 'hint': 'Many suns\xa0日, suggesting a bright and glittering gem'}",12,72.8,1725,6.0
岂,山,⿱山己,qǐ,how? what?,"{'type': 'pictophonetic', 'phonetic': '己'}",6,46.3,1726,6.0
峡,山,⿰山夹,xiá,"gorge, strait, ravine; isthmus","{'type': 'ideographic', 'hint': 'The space between\xa0夹\xa0two mountains\xa0山;\xa0夹 also provides the pronunciation'}",9,46.6,1727,6.0
苍,艸,⿱艹仓,cāng,blue; green,"{'type': 'pictophonetic', 'phonetic': '仓', 'semantic': '艹', 'hint': 'grass'}",7,140.4,1728,6.0
喷,口,⿰口贲,pēn,"spurt, blow out, puff out","{'type': 'pictophonetic', 'phonetic': '贲', 'semantic': '口', 'hint': 'mouth'}",12,30.9,1729,5.0
耗,耒,⿰耒毛,hào,"consume, use up; waste, squander","{'type': 'pictophonetic', 'phonetic': '毛', 'semantic': '耒', 'hint': 'plow'}",10,127.4,1730,6.0
凌,冫,⿰冫夌,líng,pure; virtuous; insult; maltreat,"{'type': 'pictophonetic', 'phonetic': '夌', 'semantic': '冫', 'hint': 'ice'}",10,15.8,1731,5.0
敲,攴,⿰高攴,qiāo,"strike, beat, pound, hammer; rap","{'type': 'pictophonetic', 'phonetic': '高', 'semantic': '攴', 'hint': 'strike'}",14,66.1,1732,4.0
菌,艸,⿱艹囷,jūn,"mushroom; germ, microbe","{'type': 'pictophonetic', 'phonetic': '囷', 'semantic': '艹', 'hint': 'plant'}",11,140.8,1733,6.0
赔,貝,⿰贝咅,péi,"indemnify, suffer loss","{'type': 'pictophonetic', 'phonetic': '咅', 'semantic': '贝', 'hint': 'money'}",12,154.8,1734,5.0
涂,水,⿰氵余,tú,surname; name of certain rivers,"{'type': 'pictophonetic', 'phonetic': '余', 'semantic': '氵', 'hint': 'water'}",10,85.7,1735,5.0
粹,米,⿰米卒,cuì,pure; unadulterated; select,"{'type': 'pictophonetic', 'phonetic': '卒', 'semantic': '米', 'hint': 'grain'}",14,119.8,1736,6.0
扁,戶,⿸户？,biǎn,"flat; tablet, signboard",,9,63.5,1737,6.0
亏,二,⿱二？,kuī,"lose, fail; damage; deficient",,3,7.1,1738,5.0
寂,宀,⿱宀叔,jì,"still, silent, quiet, desolate","{'type': 'pictophonetic', 'phonetic': '叔', 'semantic': '宀', 'hint': 'roof'}",11,40.8,1739,5.0
煤,火,⿰火某,méi,"coal, coke, charcoal, carbon","{'type': 'pictophonetic', 'phonetic': '某', 'semantic': '火', 'hint': 'fire'}",13,86.9,1740,5.0
熊,火,⿱能灬,xióng,a bear; brilliant; bright; surname,"{'type': 'ideographic', 'hint': ""A bear's 能 footprints 灬""}",14,86.1,1741,3.0
恭,心,⿱共⺗,gōng,"respectful, polite, reverent","{'type': 'pictophonetic', 'phonetic': '共', 'semantic': '⺗', 'hint': 'heart'}",10,61.6,1742,5.0
湿,水,⿰氵显,shī,"wet, moist, humid, damp; illness","{'type': 'pictophonetic', 'phonetic': '显', 'semantic': '氵', 'hint': 'water'}",12,85.9,1743,5.0
循,彳,⿰彳盾,xún,"obey, comply with, follow","{'type': 'pictophonetic', 'phonetic': '盾', 'semantic': '彳', 'hint': 'step'}",12,60.9,1744,6.0
暖,日,⿰日爰,nuǎn,"warm, genial","{'type': 'pictophonetic', 'phonetic': '爰', 'semantic': '日', 'hint': 'sun'}",13,72.9,1745,4.0
糖,米,⿰米唐,táng,sugar; candy; sweets,"{'type': 'pictophonetic', 'phonetic': '唐', 'semantic': '米', 'hint': 'rice'}",16,119.1,1746,4.0
赋,貝,⿰贝武,fù,tax; give; endow; army; diffuse,"{'type': 'ideographic', 'hint': 'Money\xa0贝\xa0used to raise an army\xa0武;\xa0武 also provides the pronunciation'}",12,154.8,1747,6.0
抑,手,⿰扌卬,yì,"press down, repress; curb, hinder","{'type': 'pictophonetic', 'phonetic': '卬', 'semantic': '扌', 'hint': 'hand'}",7,64.4,1748,6.0
秩,禾,⿰禾失,zhì,order; orderly; salary; decade,"{'type': 'pictophonetic', 'phonetic': '失', 'semantic': '禾', 'hint': 'grain'}",10,115.5,1749,5.0
帽,巾,⿰巾冒,mào,"hat, cap; cap-like tops","{'type': 'pictophonetic', 'phonetic': '冒', 'semantic': '巾', 'hint': 'towel'}",12,50.9,1750,3.0
哀,口,⿻衣口,āi,"sad, mournful, pitiful; pity","{'type': 'pictophonetic', 'phonetic': '衣', 'semantic': '口', 'hint': 'mouth'}",9,30.6,1751,6.0
宿,宀,⿱宀佰,sù,"stop, rest, lodge, stay overnight; constellation","{'type': 'ideographic', 'hint': 'A person 亻 sleeping in a bed 百 under a roof\xa0宀'}",11,40.8,1752,5.0
踏,足,⿰足沓,tà,"step on, trample, tread on, walk","{'type': 'pictophonetic', 'phonetic': '沓', 'semantic': '足', 'hint': 'foot'}",15,157.8,1753,6.0
烂,火,⿰火兰,làn,"rotten, spoiled, decayed","{'type': 'pictophonetic', 'phonetic': '兰', 'semantic': '火', 'hint': 'fire'}",9,86.5,1754,5.0
袁,衣,⿻衣口,yuán,robe; surname,"{'type': 'ideographic', 'hint': 'A person\xa0口 wearing a robe\xa0衣'}",10,145.4,1755,
侯,人,⿰亻矦,hóu,"marquis, lord; target in archery","{'type': 'pictographic', 'hint': 'A person\xa0亻 who might be a target\xa0矦'}",9,9.7,1756,
抖,手,⿰扌斗,dǒu,"tremble, shake, rouse; give shake","{'type': 'pictophonetic', 'phonetic': '斗', 'semantic': '扌', 'hint': 'hand'}",7,64.4,1757,5.0
夹,一,⿻夫丷,jiā,be wedged or inserted between,"{'type': 'ideographic', 'hint': 'A person\xa0夫 stuck between two others\xa0丷'}",6,1.5,1758,5.0
昆,日,⿱日比,kūn,elder brother; descendants,"{'type': 'ideographic', 'hint': 'Two brothers\xa0比\xa0under the son 日'}",8,72.4,1759,5.0
肝,肉,⿰⺼干,gān,liver,"{'type': 'pictophonetic', 'phonetic': '干', 'semantic': '⺼', 'hint': 'flesh'}",7,130.3,1760,
擦,手,⿰扌察,cā,"wipe, scrub, rub, scour; brush","{'type': 'pictophonetic', 'phonetic': '察', 'semantic': '扌', 'hint': 'hand'}",17,64.14,1761,4.0
猪,犬,⿰犭者,zhū,"pig, hog, wild boar","{'type': 'pictophonetic', 'phonetic': '者', 'semantic': '犭', 'hint': 'animal'}",11,94.9,1762,5.0
炼,火,⿰火柬,liàn,"smelt, refine; distill, condense","{'type': 'pictophonetic', 'phonetic': '柬', 'semantic': '火', 'hint': 'fire'}",9,86.5,1763,3.0
恒,心,⿰忄亘,héng,"constant, regular, persistent","{'type': 'ideographic', 'hint': 'A constant\xa0亘 heart\xa0忄;\xa0亘 also provides the pronunciation'}",9,61.6,1764,6.0
慎,心,⿰忄真,shèn,"act with care, be cautious","{'type': 'pictophonetic', 'phonetic': '真', 'semantic': '忄', 'hint': 'heart'}",13,61.1,1765,5.0
搬,手,⿰扌般,bān,"transfer, move, remove, shift","{'type': 'pictophonetic', 'phonetic': '般', 'semantic': '扌', 'hint': 'hand'}",13,64.1,1766,3.0
纽,糸,⿰纟丑,niǔ,"knot; button; handle, knob; tie","{'type': 'pictophonetic', 'phonetic': '丑', 'semantic': '纟', 'hint': 'thread'}",7,120.4,1767,6.0
纹,糸,⿰纟文,wén,"line, streak, stripe; wrinkle","{'type': 'pictophonetic', 'phonetic': '文', 'semantic': '纟', 'hint': 'thread'}",7,120.4,1768,6.0
玻,玉,⿰王皮,bō,glass,"{'type': 'pictophonetic', 'phonetic': '皮', 'semantic': '王', 'hint': 'jade'}",9,96.5,1769,5.0
渔,水,⿰氵鱼,yú,to fish; seize; pursue; surname,"{'type': 'ideographic', 'hint': 'To fish\xa0鱼 in a river氵;\xa0鱼 also provides the pronunciation'}",11,85.8,1770,6.0
磁,石,⿰石兹,cí,magnetic; magnetism; porcelain,"{'type': 'pictophonetic', 'phonetic': '兹', 'semantic': '石', 'hint': 'stone'}",14,112.1,1771,6.0
铜,金,⿰钅同,tóng,"copper, brass, bronze","{'type': 'pictophonetic', 'phonetic': '同', 'semantic': '钅', 'hint': 'metal'}",11,167.6,1772,6.0
齿,齒,⿱止⿶凵人,chǐ,"teeth; gears, cogs; age; simplified form of the KangXi radical number 211","{'type': 'pictographic', 'hint': 'Teeth\xa0人凵;\xa0止 provides the pronunciation'}",8,211.0,1773,5.0
跨,足,⿰足夸,kuà,"straddle, bestride, ride; carry","{'type': 'pictophonetic', 'phonetic': '夸', 'semantic': '足', 'hint': 'foot'}",13,157.6,1774,6.0
押,手,⿰扌甲,yā,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard","{'type': 'pictophonetic', 'phonetic': '甲', 'semantic': '扌', 'hint': 'hand'}",8,64.5,1775,5.0
怖,心,⿰忄布,bù,"terror, fear; frighten; terrified","{'type': 'pictophonetic', 'phonetic': '布', 'semantic': '忄', 'hint': 'heart'}",8,61.5,1776,6.0
漠,水,⿰氵莫,mò,"desert; aloof, indifferent, cool","{'type': 'pictophonetic', 'phonetic': '莫', 'semantic': '氵', 'hint': 'water'}",13,85.11,1777,5.0
疲,疒,⿸疒皮,pí,"feel tired, be exhausted; weak","{'type': 'pictophonetic', 'phonetic': '皮', 'semantic': '疒', 'hint': 'sickness'}",10,104.5,1778,5.0
叛,又,⿰半反,pàn,rebel; rebellion; rebellious,"{'type': 'pictophonetic', 'phonetic': '半', 'semantic': '反', 'hint': 'contrary'}",9,29.7,1779,6.0
遣,辵,⿺辶⿱⿱中一㠯,qiǎn,"send, dispatch; send off, exile","{'type': 'pictophonetic', 'semantic': '辶', 'hint': 'walk'}",13,162.1,1780,6.0
兹,艸,⿳八一⿰幺幺,zī,"now, here; this; time, year",,9,140.6,1781,
祭,示,⿱⿰⺼寸示,jì,"sacrifice to, worship","{'type': 'ideographic', 'hint': 'Hand 寸 holding meat\xa0⺼\xa0over an altar\xa0示'}",11,113.6,1782,
醉,酉,⿰酉卒,zuì,"intoxicated, drunk; addicted to","{'type': 'pictophonetic', 'phonetic': '卒', 'semantic': '酉', 'hint': 'wine'}",15,164.8,1783,5.0
拳,手,⿱龹手,quán,fist; various forms of boxing,"{'type': 'pictophonetic', 'phonetic': '龹', 'semantic': '手', 'hint': 'hand'}",10,64.6,1784,5.0
弥,弓,⿰弓尔,mí,"extensive, full; fill; complete","{'type': 'pictophonetic', 'phonetic': '尔', 'semantic': '弓', 'hint': 'bow'}",8,57.5,1785,6.0
斜,斗,⿰余斗,xié,"slanting, sloping, inclined","{'type': 'pictophonetic', 'phonetic': '余', 'semantic': '斗', 'hint': 'measuring cup'}",11,68.7,1786,5.0
档,木,⿰木当,dàng,"shelf; frame, crosspiece","{'type': 'pictophonetic', 'phonetic': '当', 'semantic': '木', 'hint': 'wood'}",10,75.6,1787,5.0
稀,禾,⿰禾希,xī,"rare, unusual, scarce; sparse","{'type': 'pictophonetic', 'phonetic': '希', 'semantic': '禾', 'hint': 'grain'}",12,115.7,1788,6.0
捷,手,⿰扌疌,jié,"win, victory, triumph","{'type': 'pictophonetic', 'phonetic': '疌', 'semantic': '扌', 'hint': 'hand'}",11,64.8,1789,6.0
肤,肉,⿰⺼夫,fū,"skin; superficial, shallow","{'type': 'pictophonetic', 'phonetic': '夫', 'semantic': '⺼', 'hint': 'flesh'}",8,130.4,1790,4.0
疫,疒,⿸疒殳,yì,"epidemic, plague, pestilence","{'type': 'pictophonetic', 'semantic': '疒', 'hint': 'sickness'}",9,104.4,1791,6.0
肿,肉,⿰⺼中,zhǒng,swell; swollen; swelling,"{'type': 'pictophonetic', 'phonetic': '中', 'semantic': '⺼', 'hint': 'flesh'}",8,130.4,1792,6.0
豆,豆,⿳一口⿱丷一,dòu,"beans, peas; bean-shaped","{'type': 'pictographic', 'hint': 'An old serving dish\xa0口\xa0on a stand with a lid\xa0一'}",7,151.0,1793,5.0
削,刀,⿰肖刂,xuē,"scrape off, pare, trim","{'type': 'pictophonetic', 'phonetic': '肖', 'semantic': '刂', 'hint': 'knife'}",9,18.7,1794,6.0
岗,山,⿱山冈,gǎng,post; position,"{'type': 'pictophonetic', 'phonetic': '冈', 'semantic': '山', 'hint': 'mountain'}",7,46.4,1795,6.0
晃,日,⿱日光,huǎng,"bright, dazzling; to sway, shake","{'type': 'pictophonetic', 'phonetic': '光', 'semantic': '日', 'hint': 'sun'}",10,72.6,1796,6.0
吞,口,⿱天口,tūn,"swallow; absorb, annex, engulf","{'type': 'pictophonetic', 'phonetic': '天', 'semantic': '口', 'hint': 'mouth'}",7,30.4,1797,6.0
宏,宀,⿱宀厷,hóng,"wide, spacious, great, vast","{'type': 'pictophonetic', 'phonetic': '厷', 'semantic': '宀', 'hint': 'building'}",7,40.4,1798,6.0
癌,疒,⿸疒嵒,ái,cancer; marmoset,"{'type': 'pictophonetic', 'phonetic': '嵒', 'semantic': '疒', 'hint': 'sickness'}",17,104.12,1799,6.0
肚,肉,⿰⺼土,dù,belly; abdomen; bowels,"{'type': 'pictophonetic', 'phonetic': '土', 'semantic': '⺼', 'hint': 'flesh'}",7,130.3,1800,4.0
隶,隶,⿱彐氺,lì,subservient; servant; KangXi radical 171,"{'type': 'ideographic', 'hint': 'A hand 彐\xa0threshing rice'}",8,171.0,1801,6.0
履,尸,⿸尸復,lǚ,"footwear, shoes; walk on, tread","{'type': 'ideographic', 'hint': 'A person\xa0尸 walking\xa0彳;\xa0復\xa0also provides the pronunciation'}",15,44.12,1802,6.0
涨,水,⿰氵张,zhǎng,rise in price,"{'type': 'pictophonetic', 'phonetic': '张', 'semantic': '氵', 'hint': 'water'}",10,85.7,1803,5.0
耀,羽,⿰光翟,yào,"shine, sparkle, dazzle; glory","{'type': 'ideographic', 'hint': 'A peacock\xa0翟 with a brilliant\xa0光\xa0tail'}",20,124.14,1804,6.0
扭,手,⿰扌丑,niǔ,"turn, twist, wrench; seize, grasp","{'type': 'pictophonetic', 'phonetic': '丑', 'semantic': '扌', 'hint': 'hand'}",7,64.4,1805,6.0
坛,土,⿰土云,tán,"altar; arena, examination hall","{'type': 'pictophonetic', 'phonetic': '云', 'semantic': '土', 'hint': 'earth'}",7,32.4,1806,6.0
拨,手,⿰扌发,bō,move; dispel; distribute,"{'type': 'ideographic', 'hint': 'To dispatch\xa0发 goods by hand\xa0扌'}",8,64.5,1807,6.0
沃,水,⿰氵夭,wò,"water, irrigate; fertile, rich","{'type': 'pictophonetic', 'phonetic': '夭', 'semantic': '氵', 'hint': 'water'}",7,85.4,1808,6.0
绘,糸,⿰纟会,huì,"draw, sketch, paint","{'type': 'pictophonetic', 'phonetic': '会', 'semantic': '纟', 'hint': 'silk'}",9,120.6,1809,6.0
伐,人,⿰亻戈,fá,"cut down, subjugate, attack","{'type': 'ideographic', 'hint': 'A person\xa0亻\xa0attacked\xa0戈'}",6,9.4,1810,6.0
堪,土,⿰土甚,kān,"adequately capable of, worthy of","{'type': 'ideographic', 'hint': 'One with a considerable amount\xa0甚 of land\xa0土'}",12,32.9,1811,6.0
仆,人,⿰亻卜,pū,"fall forward; lie prostrate, prone; servant","{'type': 'pictophonetic', 'semantic': '亻', 'hint': 'person', 'phonetic': '卜'}",4,9.2,1812,
郭,邑,⿰享阝,guō,outer part (of a city); surname,"{'type': 'ideographic', 'hint': 'A tall building\xa0享 at the edge of a city\xa0阝'}",10,163.8,1813,
牺,牛,⿰牛西,xī,"sacrifice, give up; sacrificial","{'type': 'pictophonetic', 'phonetic': '西', 'semantic': '牛', 'hint': 'ox'}",10,93.6,1814,6.0
歼,歹,⿰歹千,jiān,"annihilate, wipe out, kill off","{'type': 'ideographic', 'hint': 'A thousand\xa0千 corpses\xa0歹;\xa0千 also provides the pronunciation'}",7,78.3,1815,
墓,土,⿱莫土,mù,"grave, tomb","{'type': 'pictophonetic', 'phonetic': '莫', 'semantic': '土', 'hint': 'earth'}",13,32.11,1816,6.0
雇,隹,⿸户隹,gù,"employ, to hire","{'type': 'pictophonetic', 'phonetic': '户', 'semantic': '隹', 'hint': 'bird'}",12,172.4,1817,6.0
廉,广,⿸广兼,lián,"upright, honorable, honest",,13,53.1,1818,6.0
契,大,⿱⿰丰刀大,qì,"deed, contract, bond; engrave","{'type': 'ideographic', 'hint': 'A contract signed by cutting\xa0刀\xa0notches\xa0丰\xa0in wood\xa0木 (now changed to\xa0大)'}",9,37.6,1819,
拼,手,⿰扌并,pīn,"join together, link, incorporate","{'type': 'pictophonetic', 'phonetic': '并', 'semantic': '扌', 'hint': 'hand'}",9,64.6,1820,5.0
惩,心,⿱征心,chéng,"punish, reprimand; warn","{'type': 'pictophonetic', 'phonetic': '征', 'semantic': '心', 'hint': 'heart'}",12,61.8,1821,6.0
捉,手,⿰扌足,zhuō,"grasp, clutch; catch, seize","{'type': 'pictophonetic', 'phonetic': '足', 'semantic': '扌', 'hint': 'hand'}",10,64.7,1822,6.0
覆,襾,⿱覀復,fù,cover; tip over; return; reply,"{'type': 'pictophonetic', 'phonetic': '復', 'semantic': '覀', 'hint': 'cover'}",18,146.12,1823,6.0
刷,刀,⿰⿸尸巾刂,shuā,"brush; clean with brush, scrub","{'type': 'ideographic', 'hint': 'A person bent over\xa0尸 with a towel\xa0巾'}",8,18.6,1824,3.0
劫,力,⿰去力,jié,"take by force, coerce; disaster","{'type': 'pictophonetic', 'hint': 'strength', 'semantic': '力', 'phonetic': '去'}",7,19.5,1825,6.0
嫌,女,⿰女兼,xián,"hate, detest; suspect; criticize","{'type': 'pictophonetic', 'phonetic': '兼', 'semantic': '女', 'hint': 'woman'}",13,38.1,1826,6.0
瓜,瓜,⿵？厶,guā,"melon, gourd, cucumber; rad. 97","{'type': 'pictographic', 'hint': 'Vines growing with a melon at their base'}",5,97.0,1827,2.0
歇,欠,⿰曷欠,xiē,"rest, stop, lodge","{'type': 'pictophonetic', 'phonetic': '曷', 'semantic': '欠', 'hint': 'yawn'}",13,76.9,1828,5.0
雕,隹,⿰周隹,diāo,"engrave, inlay, carve; exhaust; used for ","{'type': 'pictophonetic', 'phonetic': '周', 'semantic': '隹', 'hint': 'bird'}",16,172.8,1829,6.0
闷,門,⿵门心,mèn,"gloomy, depressed, melancholy","{'type': 'pictophonetic', 'phonetic': '门', 'semantic': '心', 'hint': 'heart'}",7,169.4,1830,6.0
乳,乙,⿰孚乚,rǔ,"breast, nipples; milk, suckle","{'type': 'pictophonetic', 'semantic': '乚', 'hint': 'hidden', 'phonetic': '孚'}",8,5.7,1831,6.0
串,丨,⿻⿱口口丨,chuàn,string; relatives; conspire,"{'type': 'ideographic', 'hint': 'Two objects 口 strung\xa0丨 together'}",7,2.6,1832,6.0
娃,女,⿰女圭,wá,baby; doll; pretty girl,"{'type': 'ideographic', 'hint': 'A girl\xa0女 made of beautiful jade\xa0圭'}",9,38.6,1833,6.0
缴,糸,⿰纟敫,jiǎo,"deliver, submit; hand over","{'type': 'pictophonetic', 'phonetic': '敫', 'semantic': '纟', 'hint': 'thread'}",16,120.13,1834,6.0
唤,口,⿰口奂,huàn,call,"{'type': 'pictophonetic', 'phonetic': '奂', 'semantic': '口', 'hint': 'mouth'}",10,30.7,1835,6.0
赢,亠,⿱吂⿲⺼贝？,yíng,"win; surplus, gain, profit","{'type': 'pictophonetic', 'semantic': '贝', 'hint': 'money'}",17,8.15,1836,4.0
莲,艸,⿱艹连,lián,"lotus, water lily; paradise","{'type': 'pictophonetic', 'phonetic': '连', 'semantic': '艹', 'hint': 'flower'}",10,140.8,1837,
霸,雨,⿱雨⿰革月,bà,rule by might rather than right,"{'type': 'pictophonetic', 'semantic': '雨', 'hint': 'rain'}",21,173.13,1838,6.0
桃,木,⿰木兆,táo,peach; marriage; surname,"{'type': 'pictophonetic', 'phonetic': '兆', 'semantic': '木', 'hint': 'tree'}",10,75.6,1839,5.0
妥,女,⿱爫女,tuǒ,"satisfactory, appropriate","{'type': 'ideographic', 'hint': 'A hand\xa0爫 over a woman\xa0女, representing control'}",7,38.4,1840,6.0
瘦,疒,⿸疒叟,shòu,"thin, emaciated, lean; meager","{'type': 'pictophonetic', 'phonetic': '叟', 'semantic': '疒', 'hint': 'sickness'}",14,104.1,1841,3.0
搭,手,⿰扌荅,dā,"join together, attach to; add to","{'type': 'pictophonetic', 'phonetic': '荅', 'semantic': '扌', 'hint': 'hand'}",12,64.1,1842,6.0
赴,走,⿺走卜,fù,"go to; attend, be present","{'type': 'pictophonetic', 'phonetic': '卜', 'semantic': '走', 'hint': 'walk'}",9,156.2,1843,6.0
岳,山,⿱丘山,yuè,mountain peak; surname,"{'type': 'ideographic', 'hint': 'A mountain\xa0山\xa0range surrounded by hills\xa0丘'}",8,46.5,1844,6.0
嘉,口,⿱壴加,jiā,excellent; joyful; auspicious,"{'type': 'pictophonetic', 'phonetic': '加', 'semantic': '壴', 'hint': 'drum'}",14,30.11,1845,5.0
舱,舟,⿰舟仓,cāng,hold of ship; cabin,"{'type': 'ideographic', 'hint': ""A ship's\xa0舟\xa0cabin\xa0仓;\xa0仓 also provides the pronunciation""}",10,137.4,1846,6.0
俊,人,⿰亻夋,jùn,"talented, capable; handsome","{'type': 'pictophonetic', 'phonetic': '夋', 'semantic': '亻', 'hint': 'person'}",9,9.7,1847,5.0
址,土,⿰土止,zhǐ,"site, location, land for house","{'type': 'pictophonetic', 'phonetic': '止', 'semantic': '土', 'hint': 'earth'}",7,32.4,1848,4.0
庞,广,⿸广龙,páng,"disorderly, messy; huge, big","{'type': 'ideographic', 'hint': 'A dragon\xa0龙 inside a house\xa0广'}",8,53.5,1849,6.0
耕,耒,⿰耒井,gēng,"plow, cultivate","{'type': 'pictophonetic', 'phonetic': '井', 'semantic': '耒', 'hint': 'plow'}",10,127.4,1850,6.0
锐,金,⿰钅兑,ruì,"sharp, keen, acute, pointed","{'type': 'pictophonetic', 'phonetic': '兑', 'semantic': '钅', 'hint': 'metal'}",12,167.7,1851,6.0
缝,糸,⿰纟逢,fèng,"sew, mend","{'type': 'pictophonetic', 'phonetic': '逢', 'semantic': '纟', 'hint': 'thread'}",13,120.1,1852,6.0
悔,心,⿰忄每,huǐ,"repent, show remorse, regret","{'type': 'pictophonetic', 'phonetic': '每', 'semantic': '忄', 'hint': 'heart'}",10,61.7,1853,4.0
邀,辵,⿺辶敫,yāo,"invite, welcome; meet, intercept","{'type': 'pictophonetic', 'phonetic': '敫', 'semantic': '辶', 'hint': 'foot'}",16,162.13,1854,4.0
玲,玉,⿰王令,líng,tinkling of jade,"{'type': 'pictophonetic', 'phonetic': '令', 'semantic': '王', 'hint': 'jade'}",9,96.5,1855,
惟,心,⿰忄隹,wéi,"but, however, nevertheless; only",,11,61.8,1856,
斥,斤,⿸斤丶,chì,"to scold, upbraid, accuse, reproach","{'type': 'ideographic', 'hint': 'Someone scolded for cutting themselves\xa0丶\xa0with an axe\xa0斤'}",5,69.1,1857,6.0
宅,宀,⿱宀乇,zhái,"residence, dwelling, home; grave","{'type': 'pictophonetic', 'phonetic': '乇', 'semantic': '宀', 'hint': 'roof'}",6,40.3,1858,6.0
添,水,⿰氵忝,tiān,"append, add to; increase","{'type': 'pictophonetic', 'phonetic': '忝', 'semantic': '氵', 'hint': 'water'}",11,85.8,1859,6.0
挖,手,⿰扌穵,wā,"dig, dig out, gouge out, scoop","{'type': 'ideographic', 'hint': 'To dig out\xa0扌\xa0a hollow\xa0穵;\xa0穵 also provides the pronunciation'}",9,64.6,1860,6.0
呵,口,⿰口可,ā,scold; laughing sound; yawn,"{'type': 'pictophonetic', 'phonetic': '可', 'semantic': '口', 'hint': 'mouth'}",8,30.5,1861,6.0
讼,言,⿰讠公,sòng,"accuse; argue, dispute; litigate","{'type': 'pictophonetic', 'phonetic': '公', 'semantic': '讠', 'hint': 'speech'}",6,149.4,1862,6.0
氧,气,⿹气羊,yǎng,oxygen,"{'type': 'pictophonetic', 'phonetic': '羊', 'semantic': '气', 'hint': 'gas'}",10,84.6,1863,6.0
浩,水,⿰氵告,hào,"great, numerous, vast, abundant","{'type': 'pictophonetic', 'phonetic': '告', 'semantic': '氵', 'hint': 'water'}",10,85.7,1864,
羽,羽,⿰习习,yǔ,"feather, plume; wings; rad. 124","{'type': 'pictographic', 'hint': 'Two feathers or wings'}",6,124.0,1865,4.0
